Guianan warbling antbird
Guianan woodcreeper
Guinea turaco
Guira cuckoo
Guira tanager
Gull-billed tern
Gundlach's hawk
Gunnison grouse
Gurney's eagle
Gurney's pitta
Gurney's sugarbird
Güldenstädt's redstart
Handsome spurfowl
Harpy eagle
Hawkins's rail
Hazel-fronted pygmy tyrant
Heard Island shag
Henna-hooded foliage-gleaner
Henst's goshawk
Herero chat
Himalayan white-browed rosefinch
Hispaniolan palm crow
Hoatzin
Hofmann's sunbird
Hornbill friarbird
Horned guan
Horned lark
Hose's partridge
Huia
Huon catbird
Hylocitrea
Iberian green woodpecker
Ihering's antwren
ʻIʻiwi
Ijima's leaf warbler
Imitator goshawk
Inambari gnatcatcher
Inca tern
Inca wren
Indian blue robin
Indian bush lark
Indian cormorant
Indian courser
Indian peafowl
Indian pitta
Indian roller
Indian skimmer
Indochinese barbet
Indochinese fulvetta
Iphis monarch
Iquitos gnatcatcher
Iringa akalat
Iriomote tit
Island swiftlet
Itombwe flycatcher
Ituri batis
Jamaican tody
James's flamingo
Javan blue flycatcher
Javan flameback
Kabobo apalis
Kagu
Kai cicadabird
Kakapo
Kalinowski's chat-tyrant
Kamchatka leaf warbler
Karamoja apalis
Karthala scops owl
Karthala white-eye
Killdeer
Kilombero weaver
Kimberley honeyeater
King eider
Kipengere seedeater
Kirk's white-eye
Koepcke's screech owl
Kofiau monarch
Kolombangara leaf warbler
Kolombangara white-eye
Kordofan sparrow
Kosrae crake
Kungwe apalis
Lanner falcon
Large-headed flatbill
Large-spotted nutcracker
Laughing dove
Layard's woodcreeper
Laysan duck
Laysan honeycreeper
Lemon-throated leaf warbler
Lesser short-toed lark
Lesser superb bird-of-paradise
Levaillant's woodpecker
Limestone wren-babbler
Lined quail-dove
Little Sumba hawk-owl
Little bustard
Loggerhead shrike
Long-tailed cisticola
Long-tailed starling
Lowland tiny greenbul
Lulu's tody-flycatcher
Lynes's cisticola
MacGillivray's warbler
MacGregor's bowerbird
MacGregor's honeyeater
MacQueen's bustard
Macaroni penguin
Maccoa duck
Mackinlay's cuckoo-dove
Mackinnon's shrike
Macleay's honeyeater
Macquarie parakeet
Macquarie shag
Madagascan blue pigeon
Madagascan buttonquail
Madagascan cisticola
Madagascan cuckoo
Madagascan cuckooshrike
Madagascan fish eagle
Madagascan flufftail
Madagascan grebe
Madagascan green pigeon
Madagascan harrier-hawk
Madagascan hoopoe
Madagascan ibis
Madagascan jacana
Madagascan lark
Madagascan magpie-robin
Madagascan mannikin
Madagascan nightjar
Madagascan owl
Madagascan partridge
Madagascan plover
Madagascan pochard
Madagascan pratincole
Madagascan pygmy kingfisher
Madagascan rail
Madagascan sandgrouse
Madagascan serpent eagle
Madagascan snipe
Madagascan sparrowhawk
Madagascan spinetail
Madagascan starling
Madagascan stonechat
Madagascan swamp warbler
Madagascan wagtail
Madagascan wood rail
Madagascan yellowbrow
Madagascar buzzard
Madagascar cuckoo-hawk
Madanga
Madarasz's tiger parrot
Madeira firecrest
Magdalena antbird
Magdalena tapaculo
Magellanic diving petrel
Magellanic oystercatcher
Magellanic penguin
Magellanic plover
Magellanic snipe
Magellanic tapaculo
Magellanic woodpecker
Magenta petrel
Magenta-throated woodstar
Maghreb lark
Maghreb magpie
Maghreb owl
Magnificent bird-of-paradise
Magnificent frigatebird
Magnificent riflebird
Magnificent sunbird
Magnolia warbler
Magpie goose
Magpie mannikin
Magpie shrike
Magpie starling
Magpie tanager
Magpie-lark
Maguari stork
Major Mitchell's cockatoo
Makatea fruit dove
Makira cicadabird
Makira dwarf kingfisher
Makira fantail
Makira flycatcher
Makira honeyeater
Makira leaf warbler
Makira starling
Makira thrush
Makira woodhen
Malabar barbet
Malabar grey hornbill
Malabar lark
Malabar pied hornbill
Malabar starling
Malabar trogon
Malabar whistling thrush
Malabar woodshrike
Malachite kingfisher
Malachite sunbird
Malagasy black swift
Malagasy brush warbler
Malagasy bulbul
Malagasy coucal
Malagasy green sunbird
Malagasy harrier
Malagasy kestrel
Malagasy kingfisher
Malagasy palm swift
Malagasy paradise flycatcher
Malagasy pond heron
Malagasy sacred ibis
Malagasy turtle dove
Malagasy white-eye
Malaita dwarf kingfisher
Malaita fantail
Malaita white-eye
Malayan banded pitta
Malayan laughingthrush
Malayan night heron
Malayan peacock-pheasant
Malayan whistling thrush
Malaysian blue flycatcher
Malaysian crested argus
Malaysian eared nightjar
Malaysian hawk-cuckoo
Malaysian honeyguide
Malaysian partridge
Malaysian pied fantail
Malaysian plover
Maleo
Malherbe's parakeet
Mali firefinch
Malia
Malindi pipit
Mallard
Mallee emu-wren
Malleefowl
Mamberamo shrikethrush
Manchurian bush warbler
Manchurian reed warbler
Mandarin duck
Maned owl
Mangareva kingfisher
Mangareva reed warbler
Mangrove blue flycatcher
Mangrove cuckoo
Mangrove fantail
Mangrove finch
Mangrove gerygone
